COUNTY,Industry,Freight Intensive,2023,2050,"Δ Change
(2023 to 2050)","% Change
(2023 to 2050)"
Palo Pinto,Manufacturing,Yes,223543000,361308000,137765000,62%
Palo Pinto,"Mining, quarrying, and oil and gas extraction",Yes,29040000,49105000,20065000,69%
Palo Pinto,Other services (except government and government enterprises),No,30399000,34391000,3992000,13%
Palo Pinto,Professional and business services,No,-,140430000,140430000,-
Palo Pinto,Real estate and rental and leasing,No,344789000,409674000,64885000,19%
Palo Pinto,Retail trade,Yes,110493000,162059000,51566000,47%
Palo Pinto,Transportation and warehousing,Yes,23660000,105255000,81595000,345%
Palo Pinto,Utilities,No,-,150036000,150036000,-
Palo Pinto,Wholesale trade,Yes,31315000,150169000,118854000,380%
Parker,Accommodation and food services,No,187346000,796248000,608902000,325%
Parker,"Agriculture, forestry, fishing and hunting",Yes,21419000,264765000,243346000,1136%
Parker,"Arts, entertainment, and recreation",No,43728000,261405000,217677000,498%
Parker,Construction,Yes,703702000,2512285000,1808583000,257%
Parker,Finance and insurance,No,277911000,697197000,419286000,151%
Parker,Government and government enterprises,No,640675000,1408868000,768193000,120%
Parker,Health care and social assistance,No,395890000,1433568000,1037678000,262%
Parker,Information,No,66528000,395741000,329213000,495%
Parker,Manufacturing,Yes,675715000,2181544000,1505829000,223%
Parker,"Mining, quarrying, and oil and gas extraction",Yes,279767000,663382000,383615000,137%
Parker,Other services (except government and government enterprises),No,221755000,497902000,276147000,125%
Parker,Professional and business services,No,524067000,2321001000,1796934000,343%
Parker,Real estate and rental and leasing,No,1856828000,4906722000,3049894000,164%
Parker,Retail trade,Yes,772033000,2205495000,1433462000,186%
Parker,Transportation and warehousing,Yes,153708000,868640000,714932000,465%
Parker,Utilities,No,5793000,114752000,108959000,1881%
Parker,Wholesale trade,Yes,298408000,3208677000,2910269000,975%
Somervell,Accommodation and food services,No,37503000,96995000,59492000,159%
Somervell,"Agriculture, forestry, fishing and hunting",Yes,57035000,20116000,-36919000,-65%
Somervell,"Arts, entertainment, and recreation",No,2593000,12523000,9930000,383%
Somervell,Construction,Yes,52634000,160775000,108141000,205%
Somervell,Finance and insurance,No,9148000,17833000,8685000,95%
Somervell,Government and government enterprises,No,77486000,127793000,50307000,65%
Somervell,Health care and social assistance,No,14647000,55974000,41327000,282%
Somervell,Information,No,4319000,16564000,12245000,284%
Somervell,Manufacturing,Yes,19609000,31535000,11926000,61%
Somervell,"Mining, quarrying, and oil and gas extraction",Yes,-,51274000,51274000,-
Somervell,Other services (except government and government enterprises),No,18821000,47156000,28335000,151%
Somervell,Professional and business services,No,22210000,48679000,26469000,119%
Somervell,Real estate and rental and leasing,No,-,186711000,186711000,-
Somervell,Retail trade,Yes,17698000,35056000,17358000,98%
Somervell,Transportation and warehousing,Yes,36962000,59764000,22802000,62%
Somervell,Utilities,No,1341806000,1055635000,-286171000,-21%
Somervell,Wholesale trade,Yes,-,69117000,69117000,-
Tarrant,Accommodation and food services,No,5277480000,12732798000,7455318000,141%
Tarrant,"Agriculture, forestry, fishing and hunting",Yes,38651000,92088000,53437000,138%
Tarrant,"Arts, entertainment, and recreation",No,1658688000,3533957000,1875269000,113%
Tarrant,Construction,Yes,10824990000,24258736000,13433746000,124%
Tarrant,Finance and insurance,No,10461495000,21741162000,11279667000,108%
Tarrant,Government and government enterprises,No,13791616000,18958050000,5166434000,37%
Tarrant,Health care and social assistance,No,13091937000,24900887000,11808950000,90%
Tarrant,Information,No,4126500000,13080345000,8953845000,217%
Tarrant,Manufacturing,Yes,19994677000,51536547000,31541870000,158%
Tarrant,"Mining, quarrying, and oil and gas extraction",Yes,1820393000,6231536000,4411143000,242%
Tarrant,Other services (except government and government enterprises),No,3648409000,7277171000,3628762000,99%
Tarrant,Professional and business services,No,17726377000,47187986000,29461609000,166%
Tarrant,Real estate and rental and leasing,No,22869862000,41477144000,18607282000,81%
Tarrant,Retail trade,Yes,12877363000,22032807000,9155444000,71%
Tarrant,Transportation and warehousing,Yes,13930031000,32288403000,18358372000,132%
Tarrant,Utilities,No,591483000,2727055000,2135572000,361%
Tarrant,Wholesale trade,Yes,10522305000,38999869000,28477564000,271%
Wise,Accommodation and food services,No,90359000,384332000,293973000,325%
Wise,"Agriculture, forestry, fishing and hunting",Yes,6033000,200216000,194183000,3219%
Wise,"Arts, entertainment, and recreation",No,18596000,42615000,24019000,129%
Wise,Construction,Yes,312060000,1236991000,924931000,296%
Wise,Finance and insurance,No,59599000,202136000,142537000,239%
Wise,Government and government enterprises,No,427291000,925648000,498357000,117%
Wise,Health care and social assistance,No,213652000,440263000,226611000,106%
Wise,Information,No,18977000,166555000,147578000,778%
Wise,Manufacturing,Yes,404417000,1333292000,928875000,230%
Wise,"Mining, quarrying, and oil and gas extraction",Yes,877778000,874152000,-3626000,0%
Wise,Other services (except government and government enterprises),No,93226000,183100000,89874000,96%
Wise,Professional and business services,No,165716000,769499000,603783000,364%
Wise,Real estate and rental and leasing,No,521899000,1695368000,1173469000,225%
Wise,Retail trade,Yes,357822000,886765000,528943000,148%
Wise,Transportation and warehousing,Yes,157136000,853445000,696309000,443%
Wise,Utilities,No,629354000,218017000,-411337000,-65%
Wise,Wholesale trade,Yes,143835000,1152714000,1008879000,701%
